collection,ticker,description
B3/Bovespa,A1BM34.SA,A1BM34.SA
B3/Bovespa,A1DI34.SA,A1DI34.SA
B3/Bovespa,A1DM34.SA,A1DM34.SA
B3/Bovespa,A1EE34.SA,A1EE34.SA
B3/Bovespa,A1EN34.SA,A1EN34.SA
B3/Bovespa,A1EP34.SA,A1EP34.SA
B3/Bovespa,A1ES34.SA,A1ES34.SA
B3/Bovespa,A1FL34.SA,A1FL34.SA
B3/Bovespa,A1GI34.SA,A1GI34.SA
B3/Bovespa,A1GN34.SA,A1GN34.SA
B3/Bovespa,A1IV34.SA,A1IV34.SA
B3/Bovespa,A1JG34.SA,A1JG34.SA
B3/Bovespa,A1KA34.SA,A1KA34.SA
B3/Bovespa,A1LB34.SA,A1LB34.SA
B3/Bovespa,A1LG34.SA,A1LG34.SA
B3/Bovespa,A1LK34.SA,A1LK34.SA
B3/Bovespa,A1LL34.SA,A1LL34.SA
B3/Bovespa,A1LX34.SA,A1LX34.SA
B3/Bovespa,A1MB34.SA,A1MB34.SA
B3/Bovespa,A1MD34.SA,A1MD34.SA
B3/Bovespa,A1ME34.SA,A1ME34.SA
B3/Bovespa,A1MP34.SA,A1MP34.SA
B3/Bovespa,A1MT34.SA,A1MT34.SA
B3/Bovespa,A1NE34.SA,A1NE34.SA
B3/Bovespa,A1NS34.SA,A1NS34.SA
B3/Bovespa,A1NT34.SA,A1NT34.SA
B3/Bovespa,A1ON34.SA,A1ON34.SA
B3/Bovespa,A1OS34.SA,A1OS34.SA
B3/Bovespa,A1PA34.SA,A1PA34.SA
B3/Bovespa,A1PD34.SA,A1PD34.SA
B3/Bovespa,A1PH34.SA,A1PH34.SA
B3/Bovespa,A1RE34.SA,A1RE34.SA
B3/Bovespa,A1SU34.SA,A1SU34.SA
B3/Bovespa,A1TM34.SA,A1TM34.SA
B3/Bovespa,A1TT34.SA,A1TT34.SA
B3/Bovespa,A1UT34.SA,A1UT34.SA
B3/Bovespa,A1VB34.SA,A1VB34.SA
B3/Bovespa,A1VY34.SA,A1VY34.SA
B3/Bovespa,A1WK34.SA,A1WK34.SA
B3/Bovespa,AALL34.SA,AALL34.SA
B3/Bovespa,AALR3.SA,AALR3.SA
B3/Bovespa,AAPL34.SA,AAPL34.SA
B3/Bovespa,ABBV34.SA,ABBV34.SA
B3/Bovespa,ABCB4.SA,ABCB4.SA
B3/Bovespa,ABEV3.SA,ABEV3.SA
B3/Bovespa,ABTT34.SA,ABTT34.SA
B3/Bovespa,ABUD34.SA,ABUD34.SA
B3/Bovespa,ACNB34.SA,ACNB34.SA
B3/Bovespa,ADBE34.SA,ADBE34.SA
B3/Bovespa,ADPR34.SA,ADPR34.SA
B3/Bovespa,AFLT3.SA,AFLT3.SA
B3/Bovespa,AGRO3.SA,AGRO3.SA
B3/Bovespa,AHEB3.SA,AHEB3.SA
B3/Bovespa,AHEB5.SA,AHEB5.SA
B3/Bovespa,AHEB6.SA,AHEB6.SA
B3/Bovespa,AIGB34.SA,AIGB34.SA
B3/Bovespa,ALPA3.SA,ALPA3.SA
B3/Bovespa,ALPA4.SA,ALPA4.SA
B3/Bovespa,ALPK3.SA,ALPK3.SA
B3/Bovespa,ALSO3.SA,ALSO3.SA
B3/Bovespa,ALUP3.SA,ALUP3.SA
B3/Bovespa,ALUP4.SA,ALUP4.SA
B3/Bovespa,ALUP11.SA,ALUP11.SA
B3/Bovespa,AMAR3.SA,AMAR3.SA
B3/Bovespa,AMBP3.SA,AMBP3.SA
B3/Bovespa,AMGN34.SA,AMGN34.SA
B3/Bovespa,AMZO34.SA,AMZO34.SA
B3/Bovespa,ANIM3.SA,ANIM3.SA
B3/Bovespa,APER3.SA,APER3.SA
B3/Bovespa,APTV34.SA,APTV34.SA
B3/Bovespa,ARMT34.SA,ARMT34.SA
B3/Bovespa,ARNC34.SA,ARNC34.SA
B3/Bovespa,ARZZ3.SA,ARZZ3.SA
B3/Bovespa,ASML34.SA,ASML34.SA
B3/Bovespa,ATOM3.SA,ATOM3.SA
B3/Bovespa,ATTB34.SA,ATTB34.SA
B3/Bovespa,ATVI34.SA,ATVI34.SA
B3/Bovespa,AVGO34.SA,AVGO34.SA
B3/Bovespa,AWII34.SA,AWII34.SA
B3/Bovespa,AXPB34.SA,AXPB34.SA
B3/Bovespa,AZEV3.SA,AZEV3.SA
B3/Bovespa,AZEV4.SA,AZEV4.SA
B3/Bovespa,AZOI34.SA,AZOI34.SA
B3/Bovespa,AZUL4.SA,AZUL4.SA
B3/Bovespa,B1BT34.SA,B1BT34.SA
B3/Bovespa,B1DX34.SA,B1DX34.SA
B3/Bovespa,B1FC34.SA,B1FC34.SA
B3/Bovespa,B1KR34.SA,B1KR34.SA
B3/Bovespa,B1LL34.SA,B1LL34.SA
B3/Bovespa,B1MR34.SA,B1MR34.SA
B3/Bovespa,B1RF34.SA,B1RF34.SA
B3/Bovespa,B1SX34.SA,B1SX34.SA
B3/Bovespa,B1WA34.SA,B1WA34.SA
B3/Bovespa,B3SA3.SA,B3SA3.SA
B3/Bovespa,BABA34.SA,BABA34.SA
B3/Bovespa,BAHI3.SA,BAHI3.SA
B3/Bovespa,BALM3.SA,BALM3.SA
B3/Bovespa,BALM4.SA,BALM4.SA
B3/Bovespa,BAUH3.SA,BAUH3.SA
B3/Bovespa,BAUH4.SA,BAUH4.SA
B3/Bovespa,BAZA3.SA,BAZA3.SA
B3/Bovespa,BBAS3.SA,BBAS3.SA
B3/Bovespa,BBDC3.SA,BBDC3.SA
B3/Bovespa,BBDC4.SA,BBDC4.SA
B3/Bovespa,BBRK3.SA,BBRK3.SA
B3/Bovespa,BBSE3.SA,BBSE3.SA
B3/Bovespa,BBYY34.SA,BBYY34.SA
B3/Bovespa,BCSA34.SA,BCSA34.SA
B3/Bovespa,BEEF3.SA,BEEF3.SA
B3/Bovespa,BEES3.SA,BEES3.SA
B3/Bovespa,BEES4.SA,BEES4.SA
B3/Bovespa,BERK34.SA,BERK34.SA
B3/Bovespa,BGIP3.SA,BGIP3.SA
B3/Bovespa,BGIP4.SA,BGIP4.SA
B3/Bovespa,BHPG34.SA,BHPG34.SA
B3/Bovespa,BIDI3.SA,BIDI3.SA
B3/Bovespa,BIDI4.SA,BIDI4.SA
B3/Bovespa,BIDI11.SA,BIDI11.SA
B3/Bovespa,BIDU34.SA,BIDU34.SA
B3/Bovespa,BIIB34.SA,BIIB34.SA
B3/Bovespa,BILB34.SA,BILB34.SA
B3/Bovespa,BIOM3.SA,BIOM3.SA
B3/Bovespa,BKBR3.SA,BKBR3.SA
B3/Bovespa,BKNG34.SA,BKNG34.SA
B3/Bovespa,BLAK34.SA,BLAK34.SA
B3/Bovespa,BMEB3.SA,BMEB3.SA
B3/Bovespa,BMEB4.SA,BMEB4.SA
B3/Bovespa,BMGB4.SA,BMGB4.SA
B3/Bovespa,BMIN3.SA,BMIN3.SA
B3/Bovespa,BMIN4.SA,BMIN4.SA
B3/Bovespa,BMKS3.SA,BMKS3.SA
B3/Bovespa,BMYB34.SA,BMYB34.SA
B3/Bovespa,BNBR3.SA,BNBR3.SA
B3/Bovespa,BOAC34.SA,BOAC34.SA
B3/Bovespa,BOBR3.SA,BOBR3.SA
B3/Bovespa,BOBR4.SA,BOBR4.SA
B3/Bovespa,BOEI34.SA,BOEI34.SA
B3/Bovespa,BONY34.SA,BONY34.SA
B3/Bovespa,BOXP34.SA,BOXP34.SA
B3/Bovespa,BPAC3.SA,BPAC3.SA
B3/Bovespa,BPAC5.SA,BPAC5.SA
B3/Bovespa,BPAC11.SA,BPAC11.SA
B3/Bovespa,BPAN4.SA,BPAN4.SA
B3/Bovespa,BRAP3.SA,BRAP3.SA
B3/Bovespa,BRAP4.SA,BRAP4.SA
B3/Bovespa,BRDT3.SA,BRDT3.SA
B3/Bovespa,BRFS3.SA,BRFS3.SA
B3/Bovespa,BRGE3.SA,BRGE3.SA
B3/Bovespa,BRGE5.SA,BRGE5.SA
B3/Bovespa,BRGE6.SA,BRGE6.SA
B3/Bovespa,BRGE8.SA,BRGE8.SA
B3/Bovespa,BRGE11.SA,BRGE11.SA
B3/Bovespa,BRGE12.SA,BRGE12.SA
B3/Bovespa,BRIV3.SA,BRIV3.SA
B3/Bovespa,BRIV4.SA,BRIV4.SA
B3/Bovespa,BRKM3.SA,BRKM3.SA
B3/Bovespa,BRKM5.SA,BRKM5.SA
B3/Bovespa,BRKM6.SA,BRKM6.SA
B3/Bovespa,BRML3.SA,BRML3.SA
B3/Bovespa,BRPR3.SA,BRPR3.SA
B3/Bovespa,BRSR3.SA,BRSR3.SA
B3/Bovespa,BRSR5.SA,BRSR5.SA
B3/Bovespa,BRSR6.SA,BRSR6.SA
B3/Bovespa,BSLI3.SA,BSLI3.SA
B3/Bovespa,BSLI4.SA,BSLI4.SA
B3/Bovespa,BTOW3.SA,BTOW3.SA
B3/Bovespa,BTTL3.SA,BTTL3.SA
B3/Bovespa,C1AG34.SA,C1AG34.SA
B3/Bovespa,C1AH34.SA,C1AH34.SA
B3/Bovespa,C1BL34.SA,C1BL34.SA
B3/Bovespa,C1BO34.SA,C1BO34.SA
B3/Bovespa,C1BR34.SA,C1BR34.SA
B3/Bovespa,C1BS34.SA,C1BS34.SA
B3/Bovespa,C1CI34.SA,C1CI34.SA
B3/Bovespa,C1CL34.SA,C1CL34.SA
B3/Bovespa,C1DN34.SA,C1DN34.SA
B3/Bovespa,C1ER34.SA,C1ER34.SA
B3/Bovespa,C1FG34.SA,C1FG34.SA
B3/Bovespa,C1FI34.SA,C1FI34.SA
B3/Bovespa,C1HK34.SA,C1HK34.SA
B3/Bovespa,C1HR34.SA,C1HR34.SA
B3/Bovespa,C1IC34.SA,C1IC34.SA
B3/Bovespa,C1MA34.SA,C1MA34.SA
B3/Bovespa,C1MG34.SA,C1MG34.SA
B3/Bovespa,C1MS34.SA,C1MS34.SA
B3/Bovespa,C1NC34.SA,C1NC34.SA
B3/Bovespa,C1NP34.SA,C1NP34.SA
B3/Bovespa,C1NS34.SA,C1NS34.SA
B3/Bovespa,C1OG34.SA,C1OG34.SA
B3/Bovespa,C1OO34.SA,C1OO34.SA
B3/Bovespa,C1PB34.SA,C1PB34.SA
B3/Bovespa,C1PR34.SA,C1PR34.SA
B3/Bovespa,C1TA34.SA,C1TA34.SA
B3/Bovespa,C1TX34.SA,C1TX34.SA
B3/Bovespa,CAJI34.SA,CAJI34.SA
B3/Bovespa,CALI3.SA,CALI3.SA
B3/Bovespa,CALI4.SA,CALI4.SA
B3/Bovespa,CAMB3.SA,CAMB3.SA
B3/Bovespa,CAML3.SA,CAML3.SA
B3/Bovespa,CAON34.SA,CAON34.SA
B3/Bovespa,CAPH34.SA,CAPH34.SA
B3/Bovespa,CARD3.SA,CARD3.SA
B3/Bovespa,CASN3.SA,CASN3.SA
B3/Bovespa,CASN4.SA,CASN4.SA
B3/Bovespa,CATP34.SA,CATP34.SA
B3/Bovespa,CBEE3.SA,CBEE3.SA
B3/Bovespa,CCPR3.SA,CCPR3.SA
B3/Bovespa,CCRO3.SA,CCRO3.SA
B3/Bovespa,CEAB3.SA,CEAB3.SA
B3/Bovespa,CEBR3.SA,CEBR3.SA
B3/Bovespa,CEBR5.SA,CEBR5.SA
B3/Bovespa,CEBR6.SA,CEBR6.SA
B3/Bovespa,CEDO3.SA,CEDO3.SA
B3/Bovespa,CEDO4.SA,CEDO4.SA
B3/Bovespa,CEEB3.SA,CEEB3.SA
B3/Bovespa,CEEB5.SA,CEEB5.SA
B3/Bovespa,CEED3.SA,CEED3.SA
B3/Bovespa,CEED4.SA,CEED4.SA
B3/Bovespa,CEGR3.SA,CEGR3.SA
B3/Bovespa,CEPE3.SA,CEPE3.SA
